data_id,balancing_method,similarity_value,resampling_ratio
1,Original,-0.2857142857142857,1
1,Oversampling,-0.5,1
1,Undersampling,-0.5714285714285714,1
1,Near miss,-0.5714285714285714,1
1,SMOTE,-0.5714285714285714,1
2,Original,-0.07807807807807808,1
2,Oversampling,-0.11711711711711711,1
2,Undersampling,-0.17717717717717718,1
2,Near miss,-0.15615615615615616,1
2,SMOTE,-0.06906906906906907,1
3,Original,-0.2012012012012012,1
3,Oversampling,-0.2822822822822823,1
3,Undersampling,-0.15915915915915915,1
3,Near miss,-0.2672672672672673,1
3,SMOTE,-0.17717717717717718,1
4,Original,-0.19999999999999996,1
4,Oversampling,-0.19999999999999996,1
4,Undersampling,-0.7999999999999998,1
4,Near miss,-0.3999999999999999,1
4,SMOTE,-0.5999999999999999,1
5,Original,-0.17560975609756097,1
5,Oversampling,-0.26097560975609757,1
5,Undersampling,-0.21707317073170732,1
5,Near miss,-0.15365853658536585,1
5,SMOTE,-0.2097560975609756,1
6,Original,-0.14661654135338345,1
6,Oversampling,-0.13659147869674185,1
6,Undersampling,-0.16416040100250623,1
6,Near miss,-0.10651629072681702,1
6,SMOTE,-0.14786967418546365,1
7,Original,-0.1331719128329298,1
7,Oversampling,-0.12605042016806725,1
7,Undersampling,-0.08531548212505342,1
7,Near miss,-0.11152257513174764,1
7,SMOTE,-0.1192137872097992,1
8,Original,-0.2083333333333333,1
8,Oversampling,-0.15909090909090906,1
8,Undersampling,-0.1212121212121212,1
8,Near miss,-0.10227272727272724,1
8,SMOTE,-0.2045454545454545,1
9,Original,-0.21575757575757576,1
9,Oversampling,-0.09292929292929292,1
9,Undersampling,-0.12848484848484848,1
9,Near miss,-0.09333333333333334,1
9,SMOTE,-0.06545454545454546,1
10,Original,-0.19999999999999996,1
10,Oversampling,-0.9999999999999998,1
10,Undersampling,-0.9999999999999998,1
10,Near miss,-0.19999999999999996,1
10,SMOTE,-0.19999999999999996,1
11,Original,-0.41818181818181815,1
11,Oversampling,-0.23636363636363636,1
11,Undersampling,-0.2727272727272727,1
11,Near miss,-0.4545454545454546,1
11,SMOTE,-0.38181818181818183,1
12,Original,-0.35714285714285715,1
12,Oversampling,-0.7142857142857143,1
12,Undersampling,-0.5714285714285714,1
12,Near miss,-0.5714285714285714,1
12,SMOTE,-0.5,1
13,Original,-0.5714285714285714,1
13,Oversampling,-0.35714285714285715,1
13,Undersampling,-0.3333333333333333,1
13,Near miss,0.21428571428571427,1
13,SMOTE,-0.35714285714285715,1
14,Original,-0.05349324195697697,1
14,Oversampling,-0.12507138777841234,1
14,Undersampling,-0.01618122977346278,1
14,Near miss,-0.09537407195888065,1
14,SMOTE,-0.08775937559489816,1
15,Original,-0.09473684210526316,1
15,Oversampling,-0.16842105263157897,1
15,Undersampling,-0.31578947368421056,1
15,Near miss,-0.12631578947368424,1
15,SMOTE,-0.16842105263157897,1
16,Original,-0.2761904761904762,1
16,Oversampling,-0.0380952380952381,1
16,Undersampling,-0.20000000000000004,1
16,Near miss,-0.3619047619047619,1
16,SMOTE,-0.2571428571428572,1
17,Original,-0.23809523809523817,1
17,Oversampling,-0.5333333333333334,1
17,Undersampling,-0.3238095238095239,1
17,Near miss,-0.28571428571428575,1
17,SMOTE,-0.4095238095238096,1
18,Original,0.15555555555555556,1
18,Oversampling,-0.1111111111111111,1
18,Undersampling,-0.02222222222222222,1
18,Near miss,-0.15555555555555556,1
18,SMOTE,0.02222222222222222,1
19,Original,-0.2,1
19,Oversampling,-0.3333333333333333,1
19,Undersampling,-0.3333333333333333,1
19,Near miss,-0.06666666666666667,1
19,SMOTE,-0.06666666666666667,1
20,Original,-0.1431924882629108,1
20,Oversampling,-0.14241001564945227,1
20,Undersampling,-0.06259780907668232,1
20,Near miss,-0.12519561815336464,1
20,SMOTE,-0.11267605633802816,1
21,Original,-0.28571428571428575,1
21,Oversampling,-0.2666666666666667,1
21,Undersampling,0,1
21,Near miss,-0.18095238095238095,1
21,SMOTE,-0.2285714285714286,1
1,Original,0.14285714285714285,1.05
1,Oversampling,-0.42857142857142855,1.05
1,Undersampling,-0.42857142857142855,1.05
1,Near miss,0.35714285714285715,1.05
1,SMOTE,-0.6428571428571429,1.05
2,Original,-0.14714714714714713,1.05
2,Oversampling,-0.01501501501501501,1.05
2,Undersampling,-0.01201201201201201,1.05
2,Near miss,-0.12612612612612611,1.05
2,SMOTE,-0.14114114114114115,1.05
3,Original,-0.17717717717717718,1.05
3,Oversampling,-0.13213213213213212,1.05
3,Undersampling,-0.2012012012012012,1.05
3,Near miss,-0.11411411411411412,1.05
3,SMOTE,-0.2012012012012012,1.05
4,Original,-0.19999999999999996,1.05
4,Oversampling,-0.19999999999999996,1.05
4,Undersampling,-0.7999999999999998,1.05
4,Near miss,-0.3999999999999999,1.05
4,SMOTE,-0.5999999999999999,1.05
5,Original,-0.2,1.05
5,Oversampling,-0.2195121951219512,1.05
5,Undersampling,-0.2121951219512195,1.05
5,Near miss,-0.14634146341463414,1.05
5,SMOTE,-0.20243902439024392,1.05
6,Original,-0.15664160401002503,1.05
6,Oversampling,-0.17919799498746863,1.05
6,Undersampling,-0.14786967418546365,1.05
6,Near miss,-0.11403508771929824,1.05
6,SMOTE,-0.18295739348370924,1.05
7,Original,-0.14200256373735937,1.05
7,Oversampling,-0.09186725537672698,1.05
7,Undersampling,-0.096994730095428,1.05
7,Near miss,-0.09072781655034896,1.05
7,SMOTE,-0.06395100413046576,1.05
8,Original,-0.11363636363636362,1.05
8,Oversampling,-0.15909090909090906,1.05
8,Undersampling,-0.05303030303030302,1.05
8,Near miss,-0.2348484848484848,1.05
8,SMOTE,-0.15530303030303028,1.05
9,Original,-0.15595959595959596,1.05
9,Oversampling,-0.09777777777777778,1.05
9,Undersampling,-0.15353535353535352,1.05
9,Near miss,-0.02383838383838384,1.05
9,SMOTE,-0.138989898989899,1.05
10,Original,-0.3999999999999999,1.05
10,Oversampling,-0.3999999999999999,1.05
10,Undersampling,-0.7999999999999998,1.05
10,Near miss,-0.19999999999999996,1.05
10,SMOTE,-0.19999999999999996,1.05
11,Original,-0.3090909090909091,1.05
11,Oversampling,-0.23636363636363636,1.05
11,Undersampling,-0.41818181818181815,1.05
11,Near miss,-0.38181818181818183,1.05
11,SMOTE,-0.3090909090909091,1.05
12,Original,-0.6428571428571429,1.05
12,Oversampling,-0.7857142857142857,1.05
12,Undersampling,-0.42857142857142855,1.05
12,Near miss,-0.35714285714285715,1.05
12,SMOTE,-0.35714285714285715,1.05
13,Original,-0.42857142857142855,1.05
13,Oversampling,-0.35714285714285715,1.05
13,Undersampling,-0.3333333333333333,1.05
13,Near miss,0.21428571428571427,1.05
13,SMOTE,-0.35714285714285715,1.05
14,Original,-0.06719969541214545,1.05
14,Oversampling,-0.09765848086807538,1.05
14,Undersampling,-0.1182181610508281,1.05
14,Near miss,-0.09880068532267276,1.05
14,SMOTE,-0.17075956596230726,1.05
15,Original,-0.08421052631578949,1.05
15,Oversampling,-0.23157894736842108,1.05
15,Undersampling,-0.23157894736842108,1.05
15,Near miss,-0.1473684210526316,1.05
15,SMOTE,-0.18947368421052635,1.05
16,Original,-0.0761904761904762,1.05
16,Oversampling,-0.04761904761904762,1.05
16,Undersampling,-0.3238095238095239,1.05
16,Near miss,-0.18095238095238095,1.05
16,SMOTE,-0.2285714285714286,1.05
17,Original,-0.380952380952381,1.05
17,Oversampling,-0.16190476190476194,1.05
17,Undersampling,-0.28571428571428575,1.05
17,Near miss,-0.28571428571428575,1.05
17,SMOTE,-0.21904761904761907,1.05
18,Original,0.15555555555555556,1.05
18,Oversampling,-0.06666666666666667,1.05
18,Undersampling,-0.02222222222222222,1.05
18,Near miss,-0.06666666666666667,1.05
18,SMOTE,-0.3333333333333333,1.05
19,Original,-0.3333333333333333,1.05
19,Oversampling,-0.2,1.05
19,Undersampling,-0.3333333333333333,1.05
19,Near miss,-0.3333333333333333,1.05
19,SMOTE,-0.4666666666666667,1.05
20,Original,-0.07120500782472614,1.05
20,Oversampling,-0.13849765258215962,1.05
20,Undersampling,-0.08841940532081377,1.05
20,Near miss,-0.18544600938967137,1.05
20,SMOTE,-0.10406885758998435,1.05
21,Original,-0.2571428571428572,1.05
21,Oversampling,-0.14285714285714288,1.05
21,Undersampling,0,1.05
21,Near miss,-0.09523809523809525,1.05
21,SMOTE,-0.31428571428571433,1.05
1,Original,-0.35714285714285715,1.1
1,Oversampling,-0.35714285714285715,1.1
1,Undersampling,0.07142857142857142,1.1
1,Near miss,0.21428571428571427,1.1
1,SMOTE,-0.5,1.1
2,Original,-0.2672672672672673,1.1
2,Oversampling,-0.01201201201201201,1.1
2,Undersampling,-0.25225225225225223,1.1
2,Near miss,-0.08408408408408409,1.1
2,SMOTE,-0.15015015015015015,1.1
3,Original,-0.22522522522522523,1.1
3,Oversampling,-0.08408408408408409,1.1
3,Undersampling,-0.17717717717717718,1.1
3,Near miss,-0.17417417417417416,1.1
3,SMOTE,-0.2072072072072072,1.1
4,Original,-0.5999999999999999,1.1
4,Oversampling,-0.19999999999999996,1.1
4,Undersampling,-0.5999999999999999,1.1
4,Near miss,-0.3999999999999999,1.1
4,SMOTE,-0.3999999999999999,1.1
5,Original,-0.275609756097561,1.1
5,Oversampling,-0.2707317073170732,1.1
5,Undersampling,-0.21707317073170732,1.1
5,Near miss,-0.1951219512195122,1.1
5,SMOTE,-0.15853658536585366,1.1
6,Original,-0.20175438596491224,1.1
6,Oversampling,-0.21303258145363405,1.1
6,Undersampling,-0.13533834586466165,1.1
6,Near miss,-0.09147869674185462,1.1
6,SMOTE,-0.12907268170426064,1.1
7,Original,-0.08673978065802593,1.1
7,Oversampling,-0.09272183449651047,1.1
7,Undersampling,-0.07733941034040737,1.1
7,Near miss,-0.04600484261501211,1.1
7,SMOTE,-0.06110240706452073,1.1
8,Original,-0.31439393939393934,1.1
8,Oversampling,-0.1477272727272727,1.1
8,Undersampling,-0.10606060606060604,1.1
8,Near miss,-0.17803030303030298,1.1
8,SMOTE,-0.15530303030303028,1.1
9,Original,-0.10828282828282829,1.1
9,Oversampling,-0.10787878787878788,1.1
9,Undersampling,-0.12,1.1
9,Near miss,-0.07676767676767676,1.1
9,SMOTE,-0.12323232323232323,1.1
10,Original,-0.3999999999999999,1.1
10,Oversampling,-0.7999999999999998,1.1
10,Undersampling,-0.3999999999999999,1.1
10,Near miss,-0.3999999999999999,1.1
10,SMOTE,-0.3999999999999999,1.1
11,Original,-0.3090909090909091,1.1
11,Oversampling,-0.34545454545454546,1.1
11,Undersampling,-0.05454545454545454,1.1
11,Near miss,-0.2,1.1
11,SMOTE,-0.34545454545454546,1.1
12,Original,-0.5714285714285714,1.1
12,Oversampling,-0.5714285714285714,1.1
12,Undersampling,-0.5714285714285714,1.1
12,Near miss,-0.35714285714285715,1.1
12,SMOTE,-0.42857142857142855,1.1
13,Original,-0.2857142857142857,1.1
13,Oversampling,-0.35714285714285715,1.1
13,Undersampling,-0.3333333333333333,1.1
13,Near miss,-0.42857142857142855,1.1
13,SMOTE,-0.35714285714285715,1.1
14,Original,-0.06415381686655244,1.1
14,Oversampling,-0.1041309727774605,1.1
14,Undersampling,-0.11707595659623073,1.1
14,Near miss,0.02417666095564439,1.1
14,SMOTE,-0.10793832095945174,1.1
15,Original,-0.09473684210526316,1.1
15,Oversampling,-0.09473684210526316,1.1
15,Undersampling,-0.23157894736842108,1.1
15,Near miss,-0.1473684210526316,1.1
15,SMOTE,-0.04210526315789474,1.1
16,Original,-0.3523809523809524,1.1
16,Oversampling,-0.28571428571428575,1.1
16,Undersampling,-0.4000000000000001,1.1
16,Near miss,-0.4190476190476191,1.1
16,SMOTE,-0.2571428571428572,1.1
17,Original,-0.3904761904761906,1.1
17,Oversampling,-0.14285714285714288,1.1
17,Undersampling,-0.2285714285714286,1.1
17,Near miss,-0.33333333333333337,1.1
17,SMOTE,-0.28571428571428575,1.1
18,Original,0.06666666666666667,1.1
18,Oversampling,0.15555555555555556,1.1
18,Undersampling,-0.24444444444444444,1.1
18,Near miss,-0.1111111111111111,1.1
18,SMOTE,0.02222222222222222,1.1
19,Original,-0.3333333333333333,1.1
19,Oversampling,-0.8666666666666667,1.1
19,Undersampling,-0.3333333333333333,1.1
19,Near miss,-0.3333333333333333,1.1
19,SMOTE,-0.2,1.1
20,Original,-0.08763693270735524,1.1
20,Oversampling,-0.0782472613458529,1.1
20,Undersampling,-0.26134585289514867,1.1
20,Near miss,-0.16353677621283255,1.1
20,SMOTE,-0.19640062597809077,1.1
21,Original,-0.24761904761904768,1.1
21,Oversampling,-0.17142857142857146,1.1
21,Undersampling,-0.14285714285714288,1.1
21,Near miss,-0.31428571428571433,1.1
21,SMOTE,-0.2761904761904762,1.1
1,Original,-0.2857142857142857,1.15
1,Oversampling,-0.35714285714285715,1.15
1,Undersampling,-0.2857142857142857,1.15
1,Near miss,-0.5,1.15
1,SMOTE,-0.5714285714285714,1.15
2,Original,-0.23723723723723725,1.15
2,Oversampling,-0.05705705705705705,1.15
2,Undersampling,-0.24024024024024024,1.15
2,Near miss,-0.12912912912912913,1.15
2,SMOTE,-0.03903903903903904,1.15
3,Original,-0.27927927927927926,1.15
3,Oversampling,-0.12612612612612611,1.15
3,Undersampling,-0.11711711711711711,1.15
3,Near miss,-0.13513513513513514,1.15
3,SMOTE,-0.17417417417417416,1.15
4,Original,-0.5999999999999999,1.15
4,Oversampling,-0.5999999999999999,1.15
4,Undersampling,-0.3999999999999999,1.15
4,Near miss,-0.3999999999999999,1.15
4,SMOTE,-0.3999999999999999,1.15
5,Original,-0.1975609756097561,1.15
5,Oversampling,-0.18292682926829268,1.15
5,Undersampling,-0.11463414634146342,1.15
5,Near miss,-0.17804878048780487,1.15
5,SMOTE,-0.28292682926829266,1.15
6,Original,-0.17919799498746863,1.15
6,Oversampling,-0.15664160401002503,1.15
6,Undersampling,-0.23308270676691725,1.15
6,Near miss,-0.14160401002506265,1.15
6,SMOTE,-0.13408521303258145,1.15
7,Original,-0.09841902862840052,1.15
7,Oversampling,-0.10183734510753456,1.15
7,Undersampling,-0.13715994872525283,1.15
7,Near miss,-0.09243697478991598,1.15
7,SMOTE,-0.15054835493519445,1.15
8,Original,-0.07954545454545453,1.15
8,Oversampling,-0.18181818181818177,1.15
8,Undersampling,-0.1174242424242424,1.15
8,Near miss,-0.10606060606060604,1.15
8,SMOTE,-0.18181818181818177,1.15
9,Original,-0.08080808080808081,1.15
9,Oversampling,-0.11757575757575756,1.15
9,Undersampling,-0.07191919191919192,1.15
9,Near miss,-0.0905050505050505,1.15
9,SMOTE,-0.1301010101010101,1.15
10,Original,-0.3999999999999999,1.15
10,Oversampling,-0.19999999999999996,1.15
10,Undersampling,-0.3999999999999999,1.15
10,Near miss,-0.19999999999999996,1.15
10,SMOTE,-0.3999999999999999,1.15
11,Original,-0.3090909090909091,1.15
11,Oversampling,-0.4909090909090909,1.15
11,Undersampling,-0.12727272727272726,1.15
11,Near miss,-0.09090909090909093,1.15
11,SMOTE,-0.23636363636363636,1.15
12,Original,-0.5714285714285714,1.15
12,Oversampling,-0.5714285714285714,1.15
12,Undersampling,-0.2857142857142857,1.15
12,Near miss,-0.42857142857142855,1.15
12,SMOTE,-0.42857142857142855,1.15
13,Original,-0.42857142857142855,1.15
13,Oversampling,-0.35714285714285715,1.15
13,Undersampling,-0.42857142857142855,1.15
13,Near miss,0,1.15
13,SMOTE,-0.35714285714285715,1.15
14,Original,-0.10298876832286312,1.15
14,Oversampling,-0.08966304968589378,1.15
14,Undersampling,-0.13611269750618693,1.15
14,Near miss,-0.11936036550542548,1.15
14,SMOTE,-0.09803921568627452,1.15
15,Original,-0.08421052631578949,1.15
15,Oversampling,-0.16842105263157897,1.15
15,Undersampling,-0.04210526315789474,1.15
15,Near miss,-0.20000000000000004,1.15
15,SMOTE,-0.1473684210526316,1.15
16,Original,-0.2761904761904762,1.15
16,Oversampling,-0.23809523809523817,1.15
16,Undersampling,-0.33333333333333337,1.15
16,Near miss,-0.4476190476190477,1.15
16,SMOTE,-0.3523809523809524,1.15
17,Original,-0.3047619047619048,1.15
17,Oversampling,-0.21904761904761907,1.15
17,Undersampling,-0.2571428571428572,1.15
17,Near miss,-0.2571428571428572,1.15
17,SMOTE,-0.3619047619047619,1.15
18,Original,0.1111111111111111,1.15
18,Oversampling,-0.02222222222222222,1.15
18,Undersampling,-0.02222222222222222,1.15
18,Near miss,0.1111111111111111,1.15
18,SMOTE,-0.02222222222222222,1.15
19,Original,-0.2,1.15
19,Oversampling,0.06666666666666667,1.15
19,Undersampling,-0.2,1.15
19,Near miss,-0.4666666666666667,1.15
19,SMOTE,0.06666666666666667,1.15
20,Original,-0.00156494522691705,1.15
20,Oversampling,-0.16118935837245696,1.15
20,Undersampling,-0.13145539906103287,1.15
20,Near miss,-0.081377151799687,1.15
20,SMOTE,-0.1298904538341158,1.15
21,Original,-0.31428571428571433,1.15
21,Oversampling,-0.33333333333333337,1.15
21,Undersampling,-0.12380952380952384,1.15
21,Near miss,-0.2952380952380953,1.15
21,SMOTE,-0.3523809523809524,1.15
1,Original,-0.2857142857142857,1.2
1,Oversampling,-0.5,1.2
1,Undersampling,-0.07142857142857142,1.2
1,Near miss,-0.35714285714285715,1.2
1,SMOTE,-0.5714285714285714,1.2
2,Original,-0.14114114114114115,1.2
2,Oversampling,-0.13513513513513514,1.2
2,Undersampling,-0.07207207207207207,1.2
2,Near miss,-0.24624624624624625,1.2
2,SMOTE,-0.07507507507507508,1.2
3,Original,-0.14714714714714713,1.2
3,Oversampling,-0.0990990990990991,1.2
3,Undersampling,-0.1981981981981982,1.2
3,Near miss,-0.25225225225225223,1.2
3,SMOTE,-0.1921921921921922,1.2
4,Original,-0.3999999999999999,1.2
4,Oversampling,-0.19999999999999996,1.2
4,Undersampling,-0.7999999999999998,1.2
4,Near miss,-0.3999999999999999,1.2
4,SMOTE,-0.7999999999999998,1.2
5,Original,-0.2073170731707317,1.2
5,Oversampling,-0.2634146341463415,1.2
5,Undersampling,-0.16585365853658535,1.2
5,Near miss,-0.2146341463414634,1.2
5,SMOTE,-0.11463414634146342,1.2
6,Original,-0.20551378446115284,1.2
6,Oversampling,-0.07268170426065163,1.2
6,Undersampling,-0.16666666666666663,1.2
6,Near miss,-0.14536340852130325,1.2
6,SMOTE,-0.18796992481203004,1.2
7,Original,-0.0440108246688506,1.2
7,Oversampling,-0.06309642501068224,1.2
7,Undersampling,-0.1568152684802735,1.2
7,Near miss,-0.03147699757869249,1.2
7,SMOTE,-0.09841902862840052,1.2
8,Original,-0.15909090909090906,1.2
8,Oversampling,-0.21212121212121207,1.2
8,Undersampling,-0.1174242424242424,1.2
8,Near miss,-0.16287878787878785,1.2
8,SMOTE,-0.09848484848484848,1.2
9,Original,-0.08080808080808081,1.2
9,Oversampling,-0.1688888888888889,1.2
9,Undersampling,-0.06181818181818182,1.2
9,Near miss,-0.12,1.2
9,SMOTE,-0.10747474747474749,1.2
10,Original,-0.3999999999999999,1.2
10,Oversampling,-0.5999999999999999,1.2
10,Undersampling,-0.7999999999999998,1.2
10,Near miss,-0.5999999999999999,1.2
10,SMOTE,-0.3999999999999999,1.2
11,Original,-0.38181818181818183,1.2
11,Oversampling,-0.12727272727272726,1.2
11,Undersampling,-0.2727272727272727,1.2
11,Near miss,-0.38181818181818183,1.2
11,SMOTE,-0.38181818181818183,1.2
12,Original,-0.6428571428571429,1.2
12,Oversampling,-0.2857142857142857,1.2
12,Undersampling,-0.6428571428571429,1.2
12,Near miss,-0.5714285714285714,1.2
12,SMOTE,-0.35714285714285715,1.2
13,Original,-0.2857142857142857,1.2
13,Oversampling,-0.35714285714285715,1.2
13,Undersampling,-0.3333333333333333,1.2
13,Near miss,-0.5,1.2
13,SMOTE,-0.35714285714285715,1.2
14,Original,0.02988768322863125,1.2
14,Oversampling,-0.15933752141633353,1.2
14,Undersampling,-0.15629164287074052,1.2
14,Near miss,-0.06072720350276033,1.2
14,SMOTE,-0.08090614886731391,1.2
15,Original,-0.11578947368421054,1.2
15,Oversampling,-0.1473684210526316,1.2
15,Undersampling,-0.17894736842105266,1.2
15,Near miss,-0.26315789473684215,1.2
15,SMOTE,-0.1368421052631579,1.2
16,Original,-0.3714285714285715,1.2
16,Oversampling,-0.08571428571428573,1.2
16,Undersampling,-0.1904761904761905,1.2
16,Near miss,-0.3619047619047619,1.2
16,SMOTE,-0.2761904761904762,1.2
17,Original,-0.24761904761904768,1.2
17,Oversampling,-0.21904761904761907,1.2
17,Undersampling,-0.3047619047619048,1.2
17,Near miss,-0.16190476190476194,1.2
17,SMOTE,-0.2761904761904762,1.2
18,Original,0.1111111111111111,1.2
18,Oversampling,-0.02222222222222222,1.2
18,Undersampling,-0.06666666666666667,1.2
18,Near miss,0.06666666666666667,1.2
18,SMOTE,-0.3333333333333333,1.2
19,Original,0.3333333333333333,1.2
19,Oversampling,0.2,1.2
19,Undersampling,-0.2,1.2
19,Near miss,-0.4666666666666667,1.2
19,SMOTE,-0.2,1.2
20,Original,-0.03442879499217527,1.2
20,Oversampling,-0.2863849765258216,1.2
20,Undersampling,-0.08215962441314555,1.2
20,Near miss,-0.06025039123630673,1.2
20,SMOTE,-0.19248826291079812,1.2
21,Original,-0.2761904761904762,1.2
21,Oversampling,-0.4190476190476191,1.2
21,Undersampling,-0.20952380952380956,1.2
21,Near miss,-0.33333333333333337,1.2
21,SMOTE,-0.24761904761904768,1.2
1,Original,0.07142857142857142,1.25
1,Oversampling,-0.42857142857142855,1.25
1,Undersampling,-0.42857142857142855,1.25
1,Near miss,-0.5714285714285714,1.25
1,SMOTE,-0.7857142857142857,1.25
2,Original,-0.07807807807807808,1.25
2,Oversampling,-0.04204204204204204,1.25
2,Undersampling,-0.0990990990990991,1.25
2,Near miss,0.01801801801801801,1.25
2,SMOTE,-0.13213213213213212,1.25
3,Original,-0.2042042042042042,1.25
3,Oversampling,-0.16516516516516516,1.25
3,Undersampling,-0.12012012012012012,1.25
3,Near miss,-0.17417417417417416,1.25
3,SMOTE,-0.23123123123123124,1.25
4,Original,-0.19999999999999996,1.25
4,Oversampling,-0.5999999999999999,1.25
4,Undersampling,-0.5999999999999999,1.25
4,Near miss,-0.5999999999999999,1.25
4,SMOTE,-0.7999999999999998,1.25
5,Original,-0.25853658536585367,1.25
5,Oversampling,-0.16585365853658535,1.25
5,Undersampling,-0.17317073170731706,1.25
5,Near miss,-0.23414634146341465,1.25
5,SMOTE,-0.21707317073170732,1.25
6,Original,-0.11528822055137844,1.25
6,Oversampling,-0.24812030075187969,1.25
6,Undersampling,-0.18671679197994984,1.25
6,Near miss,-0.2907268170426065,1.25
6,SMOTE,-0.16290726817042603,1.25
7,Original,-0.05455063381284718,1.25
7,Oversampling,-0.06594502207662727,1.25
7,Undersampling,-0.0568295114656032,1.25
7,Near miss,-0.07534539239424584,1.25
7,SMOTE,-0.11437117219769263,1.25
8,Original,-0.1477272727272727,1.25
8,Oversampling,-0.1439393939393939,1.25
8,Undersampling,-0.09848484848484848,1.25
8,Near miss,-0.12499999999999996,1.25
8,SMOTE,-0.09469696969696968,1.25
9,Original,-0.17575757575757575,1.25
9,Oversampling,-0.16525252525252526,1.25
9,Undersampling,-0.05737373737373737,1.25
9,Near miss,-0.15717171717171718,1.25
9,SMOTE,-0.17454545454545456,1.25
10,Original,-0.19999999999999996,1.25
10,Oversampling,-0.19999999999999996,1.25
10,Undersampling,-0.3999999999999999,1.25
10,Near miss,0,1.25
10,SMOTE,-0.3999999999999999,1.25
11,Original,-0.2,1.25
11,Oversampling,-0.41818181818181815,1.25
11,Undersampling,-0.34545454545454546,1.25
11,Near miss,-0.2727272727272727,1.25
11,SMOTE,-0.23636363636363636,1.25
12,Original,-0.7142857142857143,1.25
12,Oversampling,-0.42857142857142855,1.25
12,Undersampling,-0.6428571428571429,1.25
12,Near miss,-0.8571428571428571,1.25
12,SMOTE,-0.42857142857142855,1.25
13,Original,-0.6428571428571429,1.25
13,Oversampling,-0.35714285714285715,1.25
13,Undersampling,-0.6190476190476191,1.25
13,Near miss,-0.2857142857142857,1.25
13,SMOTE,-0.35714285714285715,1.25
14,Original,-0.1353512278697887,1.25
14,Oversampling,-0.07824100513992005,1.25
14,Undersampling,-0.0744336569579288,1.25
14,Near miss,-0.05844279459356558,1.25
14,SMOTE,-0.13687416714258518,1.25
15,Original,-0.04210526315789474,1.25
15,Oversampling,-0.46315789473684216,1.25
15,Undersampling,-0.11578947368421054,1.25
15,Near miss,-0.2526315789473685,1.25
15,SMOTE,-0.2210526315789474,1.25
16,Original,-0.18095238095238095,1.25
16,Oversampling,0.00952380952380952,1.25
16,Undersampling,-0.4571428571428572,1.25
16,Near miss,-0.33333333333333337,1.25
16,SMOTE,-0.2285714285714286,1.25
17,Original,-0.4476190476190477,1.25
17,Oversampling,-0.13333333333333336,1.25
17,Undersampling,-0.43809523809523815,1.25
17,Near miss,-0.3714285714285715,1.25
17,SMOTE,-0.24761904761904768,1.25
18,Original,0.1111111111111111,1.25
18,Oversampling,0.06666666666666667,1.25
18,Undersampling,-0.2,1.25
18,Near miss,0.02222222222222222,1.25
18,SMOTE,-0.02222222222222222,1.25
19,Original,-0.4666666666666667,1.25
19,Oversampling,-0.3333333333333333,1.25
19,Undersampling,-0.6,1.25
19,Near miss,-0.06666666666666667,1.25
19,SMOTE,0.06666666666666667,1.25
20,Original,-0.05086071987480438,1.25
20,Oversampling,-0.18857589984350548,1.25
20,Undersampling,-0.08607198748043818,1.25
20,Near miss,-0.12206572769953052,1.25
20,SMOTE,-0.1486697965571205,1.25
21,Original,-0.3523809523809524,1.25
21,Oversampling,-0.2285714285714286,1.25
21,Undersampling,-0.3238095238095239,1.25
21,Near miss,-0.1523809523809524,1.25
21,SMOTE,-0.2952380952380953,1.25
