"data_id","balancing_method","imbalanced_ratio","resampling_ratio","rashomon_set_size","auc","f1","bacc","obscurity","discrepancy"
1,"Original",129.53125,1,3,0.803679131483716,NA,0.5,0,0
1,"Oversampling",1.01221001221001,1,38,1,0.999389871873093,0.998793727382388,0.0811509964230963,0.451456310679612
1,"Undersampling",1.06666666666667,1,8,0.821428571428571,0.714285714285714,0.702380952380952,0.182692307692308,0.461538461538462
1,"Near miss",1,1,9,0.795918367346939,0.666666666666667,0.642857142857143,0.222222222222222,0.571428571428571
1,"SMOTE",1,1,34,0.99958529831602,0.986219292989814,0.978287092882992,0.138260129142127,0.762364294330519
2,"Original",9.68286445012788,1,38,0.854789419191076,NA,0.608379813633479,0,0
2,"Oversampling",1.01229946524064,1,13,0.997556368433677,0.957637997432606,0.947159002723181,0.102886405959032,0.733705772811918
2,"Undersampling",1.02088772845953,1,30,0.874625374625374,0.839080459770115,0.812271062271062,0,0
2,"Near miss",1,1,43,0.831142486205777,NA,0.796900357026939,0.392857142857143,0.785714285714286
2,"SMOTE",1,1,15,0.989276863608955,0.939016393442623,0.92674004803017,0.123449898321305,0.604449938195303
3,"Original",6.07213578500707,1,39,0.90961484857926,NA,0.873878896194396,0,0
3,"Oversampling",1.0125,1,22,0.999614239901596,0.990064289888954,0.985440645111692,0.125496598639456,0.615238095238095
3,"Undersampling",1.02020202020202,1,20,0.903158324404306,0.858208955223881,0.860987805500281,0.178571428571429,0.357142857142857
3,"Near miss",1,1,31,0.930826091299571,0.885714285714286,0.886899410648287,0.214285714285714,0.428571428571429
3,"SMOTE",1,1,33,0.995034429670923,0.975467289719626,0.970314318975553,0.0997929388643224,0.835123183828174
4,"Original",4.16856600189934,1,22,0.767148382256098,NA,NA,0,0
4,"Oversampling",1.01315941359806,1,9,0.95331824150518,0.88622754491018,NA,0.112137916126243,0.695201037613489
4,"Undersampling",1.00477783086479,1,37,0.752787248550973,0.702325581395349,NA,0.12,0.266666666666667
4,"Near miss",1,1,41,0.741202656270275,0.697833523375142,NA,0.214285714285714,0.428571428571429
4,"SMOTE",1,1,16,0.932744258539548,0.864686468646865,NA,0.0997929388643224,0.835123183828174
5,"Original",5.46932515337423,1,27,0.834712672947966,NA,NA,0,0
5,"Oversampling",1.00791407574901,1,14,0.982943318970648,0.933518005540166,NA,0.100170068027211,0.642195767195767
5,"Undersampling",1.0251572327044,1,40,0.821141098484848,0.791666666666667,NA,0.25,0.5
5,"Near miss",1,1,23,0.807226107226107,0.755555555555556,NA,0.214285714285714,0.428571428571429
5,"SMOTE",1,1,20,0.971469486671073,0.918539325842697,NA,0.0997929388643224,0.835123183828174
6,"Original",1.8438995215311,1,34,0.938251587623295,NA,NA,0,0
6,"Oversampling",1.01173188940848,1,17,0.975351755560585,0.931836734693878,NA,0.0650550384030014,0.499663752521856
6,"Undersampling",1.01103552532124,1,35,0.923545284481289,0.853395061728395,NA,0.260606060606061,0.6
6,"Near miss",1,1,33,0.936680295107736,0.861693861693862,NA,0.115384615384615,0.230769230769231
6,"SMOTE",1,1,20,0.953396677176854,0.886433394720687,NA,0.177264249912577,0.733243967828418
7,"Original",42.0115384615385,1,21,0.971462031558189,NA,0.815018315018315,0.0349619568634849,1
7,"Oversampling",1.01477146042363,1,36,0.995936541396365,0.986410496719775,0.986563386296317,0.0630810092961491,0.139442231075697
7,"Undersampling",1.07438016528926,1,45,0.984575320512821,0.962264150943396,0.959134615384615,0.0851612903225806,0.651612903225806
7,"Near miss",1,1,24,0.956176035502959,0.92,0.913461538461538,0.107835876166494,0.528662420382166
7,"SMOTE",1,1,39,0.99443005507079,0.979421965317919,0.979402834008097,0.0837843784378435,0.162376237623762
8,"Original",14.8375,1,14,0.92546052631579,NA,0.5,0.0349619568634849,1
8,"Oversampling",1.00593220338983,1,36,1,0.992639327024185,NA,0.195043569618689,0.972807613868117
8,"Undersampling",1.04575163398693,1,24,0.921354166666667,0.875,0.5,0.158863416209235,0.54601226993865
8,"Near miss",1,1,13,0.900390625,0.852941176470588,0.5,0.537267080745342,0.68944099378882
8,"SMOTE",1,1,20,0.998386703601108,0.981288981288981,0.5,0.0721348884381335,0.160243407707911
9,"Original",13.4025974025974,1,16,0.805797101449275,NA,NA,0.0349619568634849,1
9,"Oversampling",1.0078125,1,19,0.999905738187817,0.995145631067961,NA,0.0980528511821983,0.168289290681502
9,"Undersampling",1.05479452054795,1,2,0.808888888888889,0.823529411764706,NA,0.093985941161156,0.844311377245509
9,"Near miss",1,1,3,0.841666666666667,0.842105263157895,NA,0.0976076555023923,0.575757575757576
9,"SMOTE",1,1,19,0.994746963088035,0.978208232445521,NA,0.140848317196865,0.795297372060857
10,"Original",8.76875,1,21,0.902455357142858,NA,NA,0.0349619568634849,1
10,"Oversampling",1.0129963898917,1,19,0.999065239814337,0.971929824561403,NA,0.0956940222897672,0.18936170212766
10,"Undersampling",1.04575163398693,1,24,0.829166666666667,0.840579710144927,NA,0.142384947876939,0.181286549707602
10,"Near miss",1,1,17,0.884765625,0.845070422535211,NA,0.0976076555023923,0.575757575757576
10,"SMOTE",1,1,25,0.985936705643112,0.951526032315978,NA,0.140848317196865,0.795297372060857
11,"Original",7.19101123595506,1,22,0.934933035714286,NA,NA,0.0349619568634849,1
11,"Oversampling",1.00946372239748,1,25,0.997039554625984,0.97131931166348,NA,0.070661853188929,0.152346570397112
11,"Undersampling",1.04093567251462,1,22,0.940816326530612,0.894736842105263,NA,0.0428571428571429,0.114285714285714
11,"Near miss",1,1,30,0.891203703703704,0.867469879518072,NA,0.0976076555023923,0.575757575757576
11,"SMOTE",1,1,38,0.993865966796875,0.97131931166348,NA,0.140848317196865,0.795297372060857
12,"Original",2.40731399747793,1,24,0.956678685501664,NA,0.5,0.0349619568634849,1
12,"Oversampling",1.01112288135593,1,19,0.986183827806863,0.94011590470058,0.5,0.124075434729365,0.17634092578986
12,"Undersampling",1.01019108280255,1,18,0.93937993530109,0.867692307692308,0.5,0.142580395195661,0.859550561797753
12,"Near miss",1,1,14,0.941626122384398,0.878648233486943,0.5,0.142441860465116,0.806818181818182
12,"SMOTE",1,1,22,0.97085983114498,0.914948453608247,0.5,0.105246008471815,0.159090909090909
13,"Original",1.96348314606742,1,38,0.946020408163265,NA,0.5,0.069545838776608,0.846153846153846
13,"Oversampling",1.01895043731778,1,20,0.969254658385092,0.927536231884058,0.5,0.101587047984236,0.348564733450498
13,"Undersampling",1.02593659942363,1,23,0.929563492063492,0.861111111111111,0.5,0.173214285714286,0.692857142857143
13,"Near miss",1,1,22,0.907668231611895,0.867132867132867,NA,0.123674911660777,0.537102473498233
13,"SMOTE",1,1,17,0.967244897959184,0.907801418439716,0.5,0.138250961301019,0.5034924330617
14,"Original",1.53778268063982,1,40,0.984418969756213,NA,0.941371189904914,0.069545838776608,0.846153846153846
14,"Oversampling",1.00831826401447,1,42,0.989198701121934,0.96588868940754,0.962227861064121,0.0889212827988337,0.6968787515006
14,"Undersampling",1.00387596899225,1,42,0.986290580338795,0.954230235783634,0.954492184527343,0.111643835616438,0.777397260273973
14,"Near miss",1,1,39,0.981072938247995,0.94579945799458,0.944903581267218,0.151202749140893,0.718213058419244
14,"SMOTE",1,1,40,0.989138114875194,0.960502692998205,0.954301075268817,0.102206320810972,0.520572450805009
15,"Original",5.07101449275362,1,17,0.87265010351967,0.537585421412301,0.6976966873706,0.069545838776608,0.846153846153846
15,"Oversampling",1.01411764705882,1,18,0.972594355661341,0.918604651162791,0.918463107786467,0.184839781858079,0.66584917228694
15,"Undersampling",1.06285714285714,1,21,0.819548872180451,0.75,0.742105263157895,0.104843098131689,0.708053691275168
15,"Near miss",1,1,14,0.852447041636231,0.8,0.77027027027027,0.196809571286142,0.661016949152542
15,"SMOTE",1,1,25,0.974539744060945,0.923976608187134,0.921965317919075,0.134804349090063,0.666056166056166
16,"Original",1.88410104011887,1,44,1,NA,NA,0.069545838776608,0.846153846153846
16,"Oversampling",1.01035856573705,1,39,1,1,NA,0.148947258703356,0.682301438398999
16,"Undersampling",1.00899550224888,1,42,1,1,NA,0.131313131313131,0.73202614379085
16,"Near miss",1,1,43,1,1,NA,0.196809571286142,0.661016949152542
16,"SMOTE",1,1,36,1,1,NA,0.134804349090063,0.666056166056166
17,"Original",12.2933333333333,1,39,0.952077687443541,NA,0.758536585365854,0.069545838776608,0.846153846153846
17,"Oversampling",1.00326441784548,1,20,0.999911629551078,0.983957219251337,0.970189701897019,0.130250883596964,0.708094327597196
17,"Undersampling",1.03448275862069,1,25,0.920689655172414,0.9,0.864942528735632,0.165373497641868,0.747603833865815
17,"Near miss",1,1,43,0.966666666666667,0.935483870967742,0.933333333333333,0.196809571286142,0.661016949152542
17,"SMOTE",1,1,24,0.99515435371745,0.968337730870713,0.952552433133027,0.134804349090063,0.666056166056166
18,"Original",17.5402298850575,1,22,0.99159594627997,NA,0.5,0.069545838776608,0.846153846153846
18,"Oversampling",1.01104240282686,1,37,0.999883720369781,NA,NA,0.10460729746444,0.288311688311688
18,"Undersampling",1.07851239669421,1,37,0.994889937106918,0.981481481481482,NA,0.110747456877488,0.712074303405573
18,"Near miss",1,1,41,0.997864008543966,0.981132075471698,0.5,0.130545639979602,0.726415094339623
18,"SMOTE",1,1,40,0.998307621898896,0.992938620315046,0.5,0.115948518923939,0.709573091849935
19,"Original",25.7650273224044,1,18,0.870439368318475,NA,0.658450603307443,0.0480215376909592,0.0858585858585859
19,"Oversampling",1.01136851136851,1,37,1,0.994663820704376,0.994697773064687,0.128881245820197,0.325881341358555
19,"Undersampling",1.04571428571429,1,13,0.9003861003861,0.868421052631579,0.86023166023166,0.181812324839738,0.855780691299166
19,"Near miss",1,1,23,0.902118334550767,0.873239436619718,0.878378378378378,0.179769422397312,0.842042755344418
19,"SMOTE",1,1,21,0.998432385079994,0.984210526315789,0.977200424178155,0.18871013667426,0.258257403189066
20,"Original",28.0980392156863,1,21,0.968292682926829,NA,0.691289198606272,0.0480215376909592,0.0858585858585859
20,"Oversampling",1.00986610288936,1,41,1,0.994746059544659,0.994773519163763,0.173818608746698,0.244203111241561
20,"Undersampling",1.0625,1,16,0.96969696969697,0.909090909090909,0.909090909090909,0.190730011587486,0.485515643105446
20,"Near miss",1,1,16,0.972727272727273,0.956521739130435,0.904545454545454,0.165314793356508,0.246813441483198
20,"SMOTE",1,1,36,0.99940511600238,0.986206896551724,0.984320557491289,0.135570469798658,0.32156405018967
21,"Original",12.5786516853933,1,11,0.646159582401193,NA,0.5,0.0480215376909592,0.0858585858585859
21,"Oversampling",1.00538841490795,1,18,1,1,1,0.154167083875705,0.21778311805347
21,"Undersampling",1.04093567251462,1,1,0.728163265306122,0.666666666666667,0.5,0.257401714932859,0.763306908267271
21,"Near miss",1,1,4,0.65354938271605,0.605263157894737,0.569444444444444,0.161791639732816,0.497737556561086
21,"SMOTE",1,1,14,0.99931934997923,0.98669623059867,0.976510067114094,0.17011712921516,0.749328558639212
1,"Original",129.53125,1.05,3,0.803679131483716,NA,0.5,0.0480215376909592,0.0858585858585859
1,"Oversampling",1.06118791602663,1.05,36,1,0.999361022364217,0.998793727382388,0.138198916487785,0.242563630788102
1,"Undersampling",1.09375,1.05,1,0.989795918367347,0.933333333333333,0.714285714285714,0.161287770922322,0.427464008859358
1,"Near miss",1.03125,1.05,2,0.816326530612245,0.75,0.714285714285714,0.161791639732816,0.497737556561086
1,"SMOTE",1.05016468203699,1.05,31,0.999755381978685,0.986833855799373,0.98235616078131,0.17011712921516,0.749328558639212
2,"Original",9.68286445012788,1.05,38,0.854789419191076,NA,0.608379813633479,0.0480215376909592,0.0858585858585859
2,"Oversampling",1.06258770698849,1.05,11,0.997953572366936,0.959623149394347,0.953825857519789,0.160904136513893,0.275171982489056
2,"Undersampling",1.07416879795396,1.05,19,0.906344183242917,0.855491329479769,0.828812537673297,0.20750085626213,0.457700650759219
2,"Near miss",1.04859335038363,1.05,40,0.812210558814449,NA,0.802330966347638,0.161791639732816,0.497737556561086
2,"SMOTE",1.0502080443828,1.05,16,0.985230129657212,0.941580756013746,0.934002173761889,0.17011712921516,0.749328558639212
3,"Original",6.07213578500707,1.05,39,0.90961484857926,NA,0.873878896194396,0.0480215376909592,0.0858585858585859
3,"Oversampling",1.06341342581125,1.05,21,0.999347963757172,0.990159901599016,0.980998625242169,0.112428298279159,0.160930528999363
3,"Undersampling",1.06506364922207,1.05,40,0.885727699530517,0.83969465648855,0.850845070422535,0.211122881355932,0.848516949152542
3,"Near miss",1.04950495049505,1.05,33,0.917572549390302,0.880597014925373,0.888647320162586,0.843081982616866,1
3,"SMOTE",1.05014677103718,1.05,35,0.991710096746377,0.973505853357979,0.971243642035573,0.125425684351564,0.27965833596963
4,"Original",4.16856600189934,1.05,22,0.767148382256098,NA,NA,0.0519218982575957,0.0732860520094563
4,"Oversampling",1.06349206349206,1.05,10,0.951590911285905,0.880371660859466,NA,0.106438631790744,0.214084507042254
4,"Undersampling",1.05230622919639,1.05,35,0.778815253490394,0.707838479809976,NA,0.195,0.515384615384615
4,"Near miss",1.04992867332382,1.05,15,0.749105233176771,0.672169811320755,NA,0.176900099568536,0.931297709923664
4,"SMOTE",1.05000598157674,1.05,20,0.927099563912872,0.860972568578554,NA,0.117671809256662,0.336605890603086
5,"Original",5.46932515337423,1.05,27,0.834712672947966,NA,NA,0.0519218982575957,0.0732860520094563
5,"Oversampling",1.05316007088009,1.05,12,0.982226518926154,0.927953890489914,NA,0.122126436781609,0.239942528735632
5,"Undersampling",1.06748466257669,1.05,28,0.875,0.808823529411765,NA,0.157825630252101,0.786764705882353
5,"Near miss",1.04907975460123,1.05,39,0.845924225028702,0.8,NA,0.173271173271173,0.856060606060606
5,"SMOTE",1.05005889281508,1.05,17,0.965830449826989,0.917159763313609,NA,0.144906743185079,0.235294117647059
6,"Original",1.8438995215311,1.05,34,0.938251587623295,NA,NA,0.0519218982575957,0.0732860520094563
6,"Oversampling",1.05972329638223,1.05,18,0.971532911406522,0.92443487621098,NA,0.143878299120235,0.240469208211144
6,"Undersampling",1.0611543062201,1.05,18,0.928780536622878,0.850734725444702,NA,0.162043795620438,0.766423357664234
6,"Near miss",1.04994019138756,1.05,32,0.936985789080031,0.860313815537696,NA,0.231429798196651,0.503649635036496
6,"SMOTE",1.05006811989101,1.05,29,0.95110175474199,0.873220932778629,NA,0.163403491597324,0.254038179148311
7,"Original",42.0115384615385,1.05,21,0.971462031558189,NA,0.815018315018315,0.0519218982575957,0.0732860520094563
7,"Oversampling",1.06503510140406,1.05,38,0.99622582033601,0.987708947885939,0.987929590318669,0.136726546906188,0.296407185628743
7,"Undersampling",1.11153846153846,1.05,35,0.972480106100796,NA,0.937665782493369,0.176571624871178,0.816901408450704
7,"Near miss",1.05,1.05,19,0.964335664335664,0.905660377358491,0.898426573426573,0.231429798196651,0.503649635036496
7,"SMOTE",1.05008652182273,1.05,38,0.994826447590871,0.981067961165049,0.976350732600733,0.163403491597324,0.254038179148311
8,"Original",14.8375,1.05,14,0.92546052631579,NA,0.5,0.0519218982575957,0.0732860520094563
8,"Oversampling",1.05230496453901,1.05,36,1,0.995594713656388,NA,0.115022172949002,0.217987804878049
8,"Undersampling",1.09375,1.05,28,0.892857142857143,0.852941176470588,NA,0.199786324786325,0.902777777777778
8,"Near miss",1.05,1.05,23,0.931985294117647,0.857142857142857,0.5,0.231429798196651,0.503649635036496
8,"SMOTE",1.05044247787611,1.05,27,0.999035863996274,0.980392156862745,0.5,0.163403491597324,0.254038179148311
9,"Original",13.4025974025974,1.05,16,0.805797101449275,NA,NA,0.0519218982575957,0.0732860520094563
9,"Oversampling",1.05846153846154,1.05,20,0.999950452124365,0.994897959183673,NA,0.12899290150843,0.27639751552795
9,"Undersampling",1.1038961038961,1.05,1,0.862132352941176,0.758620689655172,NA,0.193780369290573,0.870748299319728
9,"Near miss",1.03896103896104,1.05,6,0.858333333333333,0.827586206896552,NA,0.152050009192866,0.789115646258503
9,"SMOTE",1.05091649694501,1.05,20,0.995021947571054,0.974619289340102,NA,0.188102643856921,0.746500777604977
10,"Original",8.76875,1.05,21,0.902455357142858,NA,NA,0.098291721419185,0.235216819973719
10,"Oversampling",1.05647590361446,1.05,13,0.998872180451128,0.967272727272727,NA,0.213515620315404,0.753109072375127
10,"Undersampling",1.09375,1.05,21,0.884821428571429,0.838709677419355,NA,0.125896885069817,0.78796992481203
10,"Near miss",1.05,1.05,25,0.875919117647059,0.845070422535211,NA,0.137411498159162,0.773457943925234
10,"SMOTE",1.0501497005988,1.05,18,0.986620469083155,0.951672862453532,NA,0.152665720656801,0.466855868639773
11,"Original",7.19101123595506,1.05,22,0.934933035714286,NA,NA,0.098291721419185,0.235216819973719
11,"Oversampling",1.05785123966942,1.05,21,0.998127582644628,0.969939879759519,NA,0.175020275750203,0.736392075078206
11,"Undersampling",1.08988764044944,1.05,15,0.950292397660819,0.906666666666667,NA,0.237456172167815,0.718171926006529
11,"Near miss",1.04494382022472,1.05,30,0.920795795795796,0.894736842105263,NA,0.156956858810653,0.734403502371397
11,"SMOTE",1.05004101722724,1.05,22,0.993228099385246,0.973737373737374,NA,0.207777236796884,0.823504983388704
12,"Original",2.40731399747793,1.05,24,0.956678685501664,NA,0.5,0.098291721419185,0.235216819973719
12,"Oversampling",1.06232609905398,1.05,19,0.978348527987533,0.927694406548431,0.5,0.131357900684286,0.283030949839915
12,"Undersampling",1.04854981084489,1.05,35,0.934840500878239,0.87518355359765,0.5,0.139016670598412,0.816702052370842
12,"Near miss",1.04981084489281,1.05,18,0.935454322246774,0.875739644970414,0.5,0.142617828313514,0.819217081850534
12,"SMOTE",1.05005500550055,1.05,17,0.970310612162706,0.922043010752688,0.5,0.175889394328889,0.764068804417074
13,"Original",1.96348314606742,1.05,38,0.946020408163265,NA,0.5,0.098291721419185,0.235216819973719
13,"Oversampling",1.06231003039514,1.05,29,0.967478354978355,0.921348314606742,NA,0.176221702220286,0.772094035698737
13,"Undersampling",1.06460674157303,1.05,16,0.96235380116959,0.895104895104895,0.5,0.171856833108129,0.751814725198756
13,"Near miss",1.04775280898876,1.05,25,0.946666666666667,0.904109589041096,0.5,0.142617828313514,0.819217081850534
13,"SMOTE",1.05112781954887,1.05,21,0.967991407089153,0.914498141263941,0.5,0.175889394328889,0.764068804417074
14,"Original",1.53778268063982,1.05,40,0.984418969756213,NA,0.941371189904914,0.098291721419185,0.235216819973719
14,"Oversampling",1.05806451612903,1.05,43,0.993878925139254,0.969302325581395,0.97011385199241,0.186922735346359,0.76265541740675
14,"Undersampling",1.04964147821291,1.05,43,0.986920143269381,0.959778085991678,0.959527849074114,0.127901735406806,0.273833671399594
14,"Near miss",1.04964147821291,1.05,31,0.984411478951869,0.951724137931034,0.951378315279651,0.142617828313514,0.819217081850534
14,"SMOTE",1.05009416195857,1.05,41,0.987964819202284,0.957169459962756,0.954240325618128,0.175889394328889,0.764068804417074
15,"Original",5.07101449275362,1.05,17,0.87265010351967,0.537585421412301,0.6976966873706,0.098291721419185,0.235216819973719
15,"Oversampling",1.0655129789864,1.05,17,0.982444872618283,0.925816023738873,0.91789766645258,0.150908620578155,0.770710728836578
15,"Undersampling",1.09139784946237,1.05,24,0.812162162162162,0.756756756756757,0.736824324324324,0.153292680558523,0.741168702542093
15,"Near miss",1.04838709677419,1.05,13,0.843381843381843,0.794871794871795,0.75017325017325,0.132723042992235,0.76271186440678
15,"SMOTE",1.05121951219512,1.05,19,0.977266318905963,0.924012158054711,0.919903425912872,0.127646396396397,0.767117117117117
16,"Original",1.88410104011887,1.05,44,1,NA,NA,0.00538802282988331,0.0125223613595707
16,"Oversampling",1.0593149540518,1.05,44,1,1,NA,0.094874849486332,0.743370993774499
16,"Undersampling",1.06389301634473,1.05,33,1,1,NA,0.121333333333333,0.51
16,"Near miss",1.04903417533432,1.05,41,1,1,NA,0.112980769230769,0.528846153846154
16,"SMOTE",1.05053852526926,1.05,41,1,1,NA,0.0974758056470119,0.857862211032273
17,"Original",12.2933333333333,1.05,39,0.952077687443541,NA,0.758536585365854,0.00538802282988331,0.0125223613595707
17,"Oversampling",1.04951622083096,1.05,25,0.999891907750986,0.983193277310924,0.97289972899729,0.08642266824085,0.837780401416765
17,"Undersampling",1.07333333333333,1.05,39,0.934375,0.885245901639344,0.8875,0.0444155844155844,0.127272727272727
17,"Near miss",1.04666666666667,1.05,31,0.940625,0.88135593220339,0.886458333333333,0.0649286768322676,0.130841121495327
17,"SMOTE",1.0501138952164,1.05,25,0.994387472283814,0.965421853388658,0.956312361419069,0.0813357855238471,0.8843808630394
18,"Original",17.5402298850575,1.05,22,0.99159594627997,NA,0.5,0.00538802282988331,0.0125223613595707
18,"Oversampling",1.06144215163459,1.05,36,0.999492731256357,0.994239631336406,NA,0.0713201068531018,0.839255499153976
18,"Undersampling",1.11111111111111,1.05,27,0.98723474801061,0.97196261682243,NA,0.109973867595819,0.544642857142857
18,"Near miss",1.04980842911877,1.05,26,0.990394511149228,0.954128440366972,0.5,0.079088895919013,0.137614678899083
18,"SMOTE",1.05,1.05,39,0.998488892672569,NA,0.5,0.0627817745803357,0.464028776978417
19,"Original",25.7650273224044,1.05,18,0.870439368318475,NA,0.658450603307443,0.00538802282988331,0.0125223613595707
19,"Oversampling",1.06002697841727,1.05,30,1,0.994969256567915,0.995227995758218,0.0420092638272213,0.165762210162802
19,"Undersampling",1.0983606557377,1.05,25,0.932432432432432,0.849315068493151,0.844932432432432,0.127777777777778,0.565217391304348
19,"Near miss",1.04918032786885,1.05,11,0.910087719298246,0.8,0.796783625730994,0.079088895919013,0.137614678899083
19,"SMOTE",1.05011135857461,1.05,22,0.998956087169084,0.985603543743079,0.980646281237674,0.0627817745803357,0.464028776978417
20,"Original",28.0980392156863,1.05,21,0.968292682926829,NA,0.691289198606272,0.00538802282988331,0.0125223613595707
20,"Oversampling",1.05678466076696,1.05,37,1,0.992700729927007,0.993031358885018,0.170746247216835,0.822523881347411
20,"Undersampling",1.11764705882353,1.05,30,1,0.952380952380952,0.954545454545455,0.0686813186813187,0.478632478632479
20,"Near miss",1.03921568627451,1.05,15,0.9,0.857142857142857,0.859090909090909,0.079088895919013,0.137614678899083
20,"SMOTE",1.05058651026393,1.05,35,0.99923421526209,0.987341772151899,0.984141874385777,0.0627817745803357,0.464028776978417
21,"Original",12.5786516853933,1.05,11,0.646159582401193,NA,0.5,0.00538802282988331,0.0125223613595707
21,"Oversampling",1.05414312617702,1.05,19,1,1,1,0.0961311045768349,0.564817182306316
21,"Undersampling",1.08988764044944,1.05,4,0.681286549707602,0.516129032258065,0.531432748538012,0.0588235294117647,0.579831932773109
21,"Near miss",1.04494382022472,1.05,9,0.722222222222223,0.684931506849315,0.684684684684685,0.0974992086103197,0.162393162393162
21,"SMOTE",1.05018761726079,1.05,16,0.999002216130489,0.980346820809249,0.971760090745817,0.090956517202702,0.858850457782299
1,"Original",129.53125,1.1,3,0.803679131483716,NA,0.5,0.0204282896590589,0.0374753451676529
1,"Oversampling",1.11215454789375,1.1,35,1,NA,0.998793727382388,0.102692713833157,0.503695881731785
